game_id,win_char1,win_lv1,win_leg1,win_tran1,win_char2,win_lv2,win_leg2,win_tran2,win_char3,win_lv3,win_leg3,win_tran3,lose_char1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_lv3,lose_leg3,lose_tran3
64488071,29,20,4,1,32,20,4,1,67,20,4,1,3,20,3,2,66,20,4,1,28,20,4,1
64490285,24,20,4,1,21,19,4,1,50,20,4,1,79,20,4,0,90,20,4,0,9,20,5,0
64609635,77,20,4,1,24,20,4,1,28,20,2,2,79,18,5,0,54,18,4,0,20,18,2,1
64608453,59,20,3,2,82,20,3,2,15,20,4,1,1,20,4,1,55,20,4,1,79,20,4,1
64546022,76,20,4,1,67,20,4,1,70,20,4,1,75,19,4,0,32,19,4,1,11,19,4,0
64567944,22,19,3,0,70,19,4,0,43,19,5,0,25,19,3,2,53,19,5,0,17,20,4,1
64577453,53,19,4,0,35,19,4,1,31,19,4,1,90,18,3,2,11,19,4,1,28,19,4,1
64576112,75,19,4,1,78,20,4,1,29,20,5,0,3,20,5,0,49,20,4,1,76,19,5,0
64602855,57,20,5,0,1,20,5,0,90,20,3,2,76,19,5,0,46,20,5,0,39,20,5,0
64615208,13,20,5,0,28,20,5,0,31,20,5,0,85,20,3,2,47,20,4,1,90,20,3,2
64612707,9,20,5,0,82,20,4,1,10,20,5,0,55,20,4,1,39,20,4,1,7,20,4,1
64603651,55,20,5,0,57,20,4,1,1,20,3,2,63,20,3,2,19,20,4,1,65,19,5,0
