game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64488071,29,1,20,4,1,32,5,20,4,1,67,14,20,4,1,3,19,20,3,2,66,24,20,4,1,28,3,20,4,1
64490285,24,21,20,4,1,21,9,19,4,1,50,21,20,4,1,79,8,20,4,0,90,11,20,4,0,9,9,20,5,0
64609635,77,24,20,4,1,24,21,20,4,1,28,3,20,2,2,79,8,18,5,0,54,8,18,4,0,20,4,18,2,1
64608453,59,2,20,3,2,82,21,20,3,2,15,5,20,4,1,1,15,20,4,1,55,14,20,4,1,79,8,20,4,1
64546022,76,3,20,4,1,67,14,20,4,1,70,6,20,4,1,75,22,19,4,0,32,5,19,4,1,11,16,19,4,0
64567944,22,3,19,3,0,70,6,19,4,0,43,5,19,5,0,25,11,19,3,2,53,14,19,5,0,17,5,20,4,1
64577453,53,14,19,4,0,35,2,19,4,1,31,7,19,4,1,90,11,18,3,2,11,16,19,4,1,28,13,19,4,1
64576112,75,22,19,4,1,78,16,20,4,1,29,1,20,5,0,3,21,20,5,0,49,19,20,4,1,76,3,19,5,0
64602855,57,23,20,5,0,1,15,20,5,0,90,11,20,3,2,76,3,19,5,0,46,16,20,5,0,39,18,20,5,0
64615208,13,15,20,5,0,28,3,20,5,0,31,7,20,5,0,85,13,20,3,2,47,4,20,4,1,90,11,20,3,2
64612707,9,9,20,5,0,82,21,20,4,1,10,1,20,5,0,55,14,20,4,1,39,21,20,4,1,7,1,20,4,1
64603651,55,14,20,5,0,57,23,20,4,1,1,15,20,3,2,63,15,20,3,2,19,6,20,4,1,65,16,19,5,0
64594436,79,8,19,3,2,9,10,20,4,1,68,1,19,5,0,28,3,20,5,0,46,16,19,4,1,50,21,19,4,0
64593735,19,6,19,5,0,50,21,19,4,1,80,19,19,4,1,83,6,19,5,0,54,8,19,5,0,31,7,19,3,2
64601190,35,2,20,4,1,48,3,20,5,0,1,15,20,4,1,65,16,20,4,1,25,11,20,4,1,15,5,20,4,1
64603464,80,19,20,3,2,54,8,20,4,1,1,15,20,3,2,17,5,20,5,0,3,21,20,4,1,29,1,20,4,0
64606602,57,23,20,3,2,89,9,20,3,2,35,1,20,4,1,89,9,19,4,1,71,14,19,5,0,56,20,19,4,1
64613860,61,5,20,5,0,11,18,20,4,0,9,10,20,5,0,27,9,20,3,1,22,3,19,4,1,1,15,19,4,1
64607555,61,5,19,3,2,22,3,20,4,1,13,15,20,5,0,25,11,20,5,0,90,11,20,3,2,19,24,20,5,0
64611109,24,21,20,2,3,32,5,20,5,0,53,14,20,3,2,1,15,20,4,1,22,3,20,4,1,30,13,20,4,1
64611527,64,24,20,3,2,67,14,20,3,2,89,9,20,3,2,6,8,20,5,0,89,9,20,4,0,4,13,20,3,0
64609098,89,9,20,4,1,49,19,20,4,1,7,1,20,5,0,3,19,19,3,2,13,15,20,4,1,72,11,19,4,1
64625893,73,24,20,4,0,14,21,20,3,2,26,9,20,3,2,39,21,20,4,1,29,1,20,5,0,1,15,20,3,2
64621287,62,11,20,5,0,25,11,20,4,1,86,1,19,5,0,28,3,19,4,1,87,24,19,5,0,24,21,20,5,0
64627848,89,9,20,4,1,72,11,20,5,0,26,9,20,5,0,53,14,20,5,0,70,6,20,3,2,60,6,20,3,2
64633508,37,15,20,4,1,26,9,20,4,0,87,24,20,4,0,19,6,20,5,0,76,3,20,5,0,6,7,20,4,1
64624133,53,14,20,5,0,34,23,20,3,2,21,9,20,5,0,54,8,20,3,1,79,8,20,4,1,72,11,20,5,0
64619492,19,6,20,4,1,74,3,19,3,0,1,18,20,5,0,70,6,20,4,1,28,3,20,4,1,24,21,19,4,1
64633699,39,21,20,4,1,86,1,20,5,0,89,9,20,3,2,34,23,20,5,0,72,11,19,2,3,55,14,19,5,0
64618343,39,21,20,4,1,90,11,19,3,2,23,18,20,4,1,54,8,20,3,2,58,10,20,3,2,20,4,20,5,0
64593026,65,16,20,5,0,31,7,20,4,1,21,9,20,3,2,82,21,20,4,1,56,20,20,5,0,17,5,20,3,2
64592707,76,3,19,5,0,34,23,20,3,2,31,7,20,4,1,18,15,20,3,2,46,16,20,5,0,65,16,20,4,1
64630948,74,3,19,4,1,62,11,20,5,0,53,14,19,5,0,43,5,20,3,2,79,8,20,4,1,33,1,20,5,0
64616448,17,5,20,4,1,84,18,20,5,0,65,16,20,5,0,1,18,20,4,1,17,5,20,5,0,88,3,20,4,1
64615457,2,10,20,4,1,82,21,20,4,1,1,18,19,4,1,30,13,19,5,0,1,15,20,4,1,79,8,20,4,1
64620546,47,4,20,5,0,48,3,20,5,0,30,13,20,5,0,32,5,20,3,2,23,15,19,5,0,14,21,19,4,1
64629250,89,9,20,3,2,14,21,20,4,1,33,1,20,5,0,74,3,20,5,0,60,6,20,4,1,81,9,20,4,1
64613986,61,5,20,3,2,56,20,20,4,1,75,22,20,5,0,4,3,19,5,0,58,10,19,4,1,64,24,20,4,1
64623172,18,15,20,4,1,24,3,20,3,2,28,3,20,4,1,40,6,19,5,0,47,4,19,3,0,1,15,19,5,0
64617472,69,9,17,0,0,39,18,19,2,3,11,16,18,2,0,69,9,19,5,0,22,3,19,4,1,18,15,19,4,1
64619626,58,10,19,2,2,29,1,19,3,0,20,4,18,3,0,69,9,20,3,1,39,21,19,4,1,73,24,20,5,0
64630176,88,3,20,3,2,78,16,20,4,1,41,24,20,5,0,1,15,20,3,2,33,1,20,4,1,42,24,20,5,0
64627457,77,24,20,4,1,67,14,20,4,1,74,3,20,4,1,89,9,20,4,1,16,9,20,5,0,29,1,19,4,0
64634114,6,8,19,4,1,88,3,19,4,1,29,1,19,3,2,53,14,19,4,1,82,21,19,5,0,81,9,20,2,3
64631781,12,7,20,5,0,90,11,20,3,2,45,4,19,3,0,74,3,19,5,0,51,22,19,4,0,32,5,20,3,2
64614948,77,24,20,5,0,23,18,20,4,1,51,22,20,5,0,65,16,19,5,0,59,2,20,4,1,6,8,20,2,3
64624135,22,3,19,4,1,56,20,20,5,0,1,15,20,4,1,6,8,20,4,1,11,18,20,4,1,33,1,20,5,0
64596320,76,3,20,4,1,36,5,20,2,3,63,15,20,4,1,89,9,20,3,0,54,8,20,3,1,61,5,20,4,0
64633931,65,16,20,3,2,9,9,20,5,0,37,15,20,4,1,39,21,20,3,2,89,9,20,3,2,24,21,20,4,1
64620230,59,2,20,5,0,19,6,20,5,0,43,5,20,4,1,29,1,20,5,0,16,9,20,5,0,12,7,20,4,1
64615820,26,9,20,4,1,15,5,20,4,1,12,7,20,4,1,55,14,20,3,1,23,18,20,5,0,16,9,20,5,0
64627970,49,19,20,5,0,33,1,20,4,1,47,4,20,4,1,89,9,20,5,0,65,16,20,4,1,47,4,20,4,1
64632291,64,24,19,4,1,65,16,19,5,0,35,2,19,4,0,19,24,20,4,1,16,9,20,4,1,50,21,20,4,1
64608994,49,19,20,3,2,81,9,20,4,1,22,3,20,5,0,13,19,20,5,0,5,6,19,3,2,19,6,20,4,1
64614681,29,1,20,4,1,70,6,20,3,2,27,9,20,3,1,47,4,20,5,0,6,8,20,4,1,49,19,20,5,0
64617030,53,14,19,5,0,5,6,20,3,2,89,9,20,5,0,76,3,19,4,0,28,3,20,4,1,62,11,20,4,1
64597728,44,25,20,4,1,55,14,19,5,0,17,5,20,4,1,24,3,20,4,1,12,7,20,3,2,84,18,20,5,0
64634305,53,14,20,4,1,72,11,20,3,2,33,1,19,4,1,30,13,19,4,0,31,7,19,5,0,1,15,20,4,1
64596226,31,7,20,3,2,19,6,20,4,1,2,11,20,5,0,23,15,20,5,0,25,11,19,5,0,1,18,20,3,2
